"url","reviews","rank","rating","hotel_name","hotel_features","hotel_price","no_of_deals","booking_provider","hotel_url"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","4552 ","#41 Best Value of 157 places to stay in Boston","4.5","Revere Hotel Boston Common","Free Wifi,Pool,Hotel website","₫4,694,978","0","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d89600-Reviews-Revere_Hotel_Boston_Common-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","934 ","#42 Best Value of 157 places to stay in Boston","4.5","Residence Inn by Marriott Boston Harbor on Tudor Wharf","Free Wifi,Breakfast included,Hotel website","₫6,109,979","5","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d268207-Reviews-Residence_Inn_by_Marriott_Boston_Harbor_on_Tudor_Wharf-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","2272 ","#43 Best Value of 157 places to stay in Boston","4","Boston Marriott Long Wharf","Pool,Restaurant,Hotel website","₫7,178,645","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d111417-Reviews-Boston_Marriott_Long_Wharf-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1145 ","#44 Best Value of 157 places to stay in Boston","4.5","Hilton Garden Inn Boston Logan Airport","Free Parking,Pool,Hotel website","₫3,864,155","6","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d8142646-Reviews-Hilton_Garden_Inn_Boston_Logan_Airport-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","2143 ","#45 Best Value of 157 places to stay in Boston","4","Club Quarters Hotel in Boston","Free Wifi,Restaurant,Hotel website","₫4,997,173","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d94399-Reviews-Club_Quarters_Hotel_in_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","3494 ","#46 Best Value of 157 places to stay in Boston","4","Boston Marriott Copley Place","Pool,Restaurant,Hotel website","₫6,242,952","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d111416-Reviews-Boston_Marriott_Copley_Place-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1698 ","#47 Best Value of 157 places to stay in Boston","4","Ames Boston Hotel, Curio Collection by Hilton","Free Wifi,Fitness center,Hotel website","₫5,109,241","5","Hotels.com","https://www.tripadvisor.com/Hotel_Review-g60745-d1513541-Reviews-Ames_Boston_Hotel_Curio_Collection_by_Hilton-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","243 ","#48 Best Value of 157 places to stay in Boston","4","Beacon Hill Hotel and Bistro","Free Wifi,Restaurant,Hotel website","₫6,946,326","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d220216-Reviews-Beacon_Hill_Hotel_and_Bistro-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1737 ","#49 Best Value of 157 places to stay in Boston","4.5","Residence Inn by Marriott Boston Back Bay/Fenway","Free Wifi,Breakfast included,Hotel website","₫4,901,923","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d4325990-Reviews-Residence_Inn_by_Marriott_Boston_Back_Bay_Fenway-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","4924 ","#50 Best Value of 157 places to stay in Boston","4.5","InterContinental Boston","Pool,Restaurant,Hotel website","₫6,318,834","6","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d620703-Reviews-InterContinental_Boston-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1838 ","#51 Best Value of 157 places to stay in Boston","4.5","Loews Boston Hotel","Free Wifi,Restaurant,Hotel website","₫6,946,326","0","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d321151-Reviews-Loews_Boston_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","2113 ","#52 Best Value of 157 places to stay in Boston","4.5","Copley Square Hotel","Free Wifi,Restaurant,Hotel website","₫5,868,018","5","Agoda.com","https://www.tripadvisor.com/Hotel_Review-g60745-d111421-Reviews-Copley_Square_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1540 ","#53 Best Value of 157 places to stay in Boston","4","Kimpton Onyx Hotel","Free Wifi,Restaurant,Hotel website","₫4,627,787","5","Booking.com","https://www.tripadvisor.com/Hotel_Review-g60745-d287606-Reviews-Kimpton_Onyx_Hotel-Boston_Massachusetts.html"
"https://www.tripadvisor.com/Hotels-g60745-oa30-Boston_Massachusetts-Hotels.html","1185 ","#54 Best Value of 157 places to stay in Boston","4.5","XV Beacon","Free Wifi,Restaurant","₫10,059,404","5","Agoda.com","https://www.tripadvisor.com/Hotel_Review-g60745-d94337-Reviews-XV_Beacon-Boston_Massachusetts.html"
