"offer","brand","description","category","activated_date","expiration_date","url"
"Save $4.00","Florastor","on ONE Florastor product","Health Care > Dietary Supplements > Dietary Supplements","2018-04-22T00:01:00-0700","2019-01-14T23:59:00-0800","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Rachael Ray™ Nutrish®","on any ONE (1) 3 lb. bag or larger of Rachael Ray™ Nutrish® Dry Cat Food (Available at Walmart)","Pet Care > Cat Food > Dry","2018-07-13T00:01:00-0700","2018-10-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","JUST CRACK AN EGG","on any two (2) JUST CRACK AN EGG products","Foods > Breakfast > Shelf Stable","2018-07-18T00:01:00-0700","2018-09-17T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","DEPEND®","on any ONE (1) package of DEPEND® Shields or Guards for Men (8 ct. or larger)","Personal Care > Personal Care: Other > Personal Care: Other","2018-06-24T00:01:00-0700","2018-08-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 50¢","SC Johnson Products","on any TWO (2) Pledge® Furniture, Windex® or Scrubbing Bubbles® products","Household > Household Cleaners/ Supplies > Cleaning Supplies","2018-07-10T00:01:00-0700","2018-10-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE 75¢ ON ONE","General Mills Sweet Hot Snacks","when you buy ONE PACKAGE Cinnamon Toast Crunch™ Bites OR Hershey’s™ Bites hot snacks","Foods > Snacks > Sweet Snacks","2018-07-01T00:01:00-0700","2018-08-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $2.00","POISE®","on any ONE (1) package of POISE® IMPRESSA® Bladder Supports Sizing Kit or Size 1, 2, or 3 (6 ct. or larger)","Personal Care > Feminine Hygiene > Other","2018-06-24T00:01:00-0700","2018-08-04T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","Jimmy Dean® Frozen","ANY TWO (2) Jimmy Dean® Frozen Products, excluding single serve sandwiches","Foods > Frozen Foods > Dinner: Single Serve","2018-07-16T00:01:00-0700","2018-09-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $5.00","Culturelle® Baby Probiotics","on any ONE (1) Culturelle® Baby product","Baby & Toddler > Baby Products > Baby Needs:  Other","2018-06-18T00:01:00-0700","2018-08-22T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $6.00","Florastor","on ONE Florastor 50 cap, FlorastorPre, or FlorastorPlus","Health Care > Dietary Supplements > Dietary Supplements","2018-04-22T00:01:00-0700","2019-01-14T23:59:00-0800","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"GET $1.50 OFF","HUGGIES®","any ONE (1) package of HUGGIES® LITTLE SWIMMERS® Disposable Swimpants (10 ct. or larger)","Baby & Toddler > Baby Products > Baby Diapers","2018-07-01T00:01:00-0700","2018-08-11T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","Hillshire Farm® Lunchmeat","ANY TWO (2) Hillshire Farm® Lunchmeat Products","Foods > Meats > Lunch Meats","2018-07-16T00:01:00-0700","2018-09-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Cat Chow®","on one (1) 3.15lb to 12lb bag of Purina® Cat Chow® Brand Dry Cat Food, Any Variety","Pet Care > Cat Food > Dry","2018-06-12T00:01:00-0700","2018-09-03T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.75","Extra® Chewy Mints","OFF ONE (1) Extra Chewy Mints 1.5 oz. pack","Foods > Confections > Candy","2018-07-11T00:01:00-0700","2018-10-13T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 OFF","State Fair® Corn Dogs","ANY TWO (2) State Fair® Corn Dog Products, 12ct. or higher","Foods > Frozen Foods > Dinner: Single Serve","2018-07-16T00:01:00-0700","2018-09-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.50","Bella®","on six (6) 3.5 oz trays of Purina® Bella® Wet Dog Food","Pet Care > Dog Food > Canned","2018-06-15T00:01:00-0700","2018-08-10T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","AVEENO","off any (1) AVEENO® Body Wash Product","Personal Care > Body Wash > Body Wash","2018-07-15T00:01:00-0700","2018-08-20T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
